id,response
1,Improved communication between departments
2,More flexible work schedules
3,Better training for new employees
4,Increased budget for professional development
5,Regular team building activities
6,Clear career advancement paths
7,More collaboration between teams
8,Updated technology and tools
9,Healthier work-life balance
10,Recognition and appreciation programs
11,More diverse hiring practices
12,Regular feedback sessions with managers
13,Transparent decision-making processes
14,Investment in employee wellness programs
15,Opportunities for remote work
